,X,Y,sigmaX,sigmaY
0,0.0,0.0,0.0,0.0
1,6.312749195022675,6.122288004182965,0.5113550542410122,0.5658975418073886
2,6.633082031562649,-6.8064406596404785,0.7322279661624207,0.6673296630891036
3,-6.07295425743274,6.153106661430377,0.5556924491799493,0.6027021415062199
4,12.256890562496217,3.9048020406482493,0.5638837427821223,0.5194825049454592
5,4.0401366825578116,11.541072209199339,0.5429671069591279,0.48814381862898965
6,12.825643522285707,-4.318539257059986,0.7181967496166085,0.5434865278200431
7,14.022431527849202,-0.15966041465536013,0.557547477814194,0.4749502979951513
8,-6.676480372903829,-6.527339488386782,0.720854877523316,0.6585108639777314
9,-3.681273194264977,11.511492347782475,0.5139797283423487,0.4655079082851108
10,10.350409518731974,10.088996280272857,0.481234073858553,0.48884865233188435
11,0.18646465747615418,12.962729143583159,0.5460959980914569,0.44029481477398746
12,4.067851320640421,-12.791945790039465,0.5393022334079957,0.45313351001131774
13,-11.631964546160713,4.063403713940696,0.4933208182896404,0.5175599682233186
14,10.766771755531094,-11.051184860122873,0.4693252897919925,0.4717391849054186
15,-4.276283466594511,-12.496348819974031,0.5805515363148986,0.48071705379880314
16,-9.729440783128652,9.997749953461268,0.47413751910661933,0.49238175310957083
17,-12.075554863287755,-3.8395545737317005,0.5322437596497059,0.5234429309802149
18,-0.17414454876414248,-14.256250036172858,0.5364418234392763,0.4284372490409154
19,-13.269649959141729,0.21140095537669595,0.531122485184805,0.5173492259666391
20,-10.645300878252195,-10.342631058947854,0.49193446017571935,0.4860142456008836
21,9.092629783624343,17.69353793201746,0.530989765893873,0.5311816089883798
22,18.485506243860048,9.007548960972379,0.484894463117194,0.4900928535383758
23,-8.306125219554579,17.286134488258583,0.4906842804861183,0.46764342316366186
24,19.030675812953877,-9.651571271540323,0.518123797890155,0.5157294452754247
25,-17.030767608972976,8.852227532093615,0.4884890021827643,0.48229453631787433
26,9.35668136885967,-19.232657995525244,0.5863763869952783,0.5295496343587771
27,-17.93481136820452,-8.590092902552865,0.522440403039731,0.5195363678260855
28,-9.48769751289402,-18.22900687426347,0.5686837576550167,0.6160774223727471
29,-23.007670714472535,0.4246816741144141,0.6632574589320498,0.6456794102719073
